category,integration_id,integration_name,official_status,transport_or_api,auth_pattern,who_collects_credentials,where_credentials_stored,how_openclaw_exposes_to_agent,agent_to_integration_flow,fetch_send_mode,risk_level,secret_scope,rotation_difficulty,blast_radius,recommended_hardening,risk_profile,source_doc
model_provider,openrouter,OpenRouter,built-in,LLM provider API,API key,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,qianfan,Qianfan,provider docs page,LLM provider API,provider auth,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium,Provider/channel scoped access,Medium,Medium,"Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.","Level=medium; Scope=Provider/channel scoped access; Rotation=Medium; BlastRadius=Medium; Hardening=Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,qwen-portal,Qwen Portal,bundled auth plugin,LLM provider API,OAuth device-code,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,high,User delegated scopes / refresh tokens,Medium-High,High,"Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.","Level=high; Scope=User delegated scopes / refresh tokens; Rotation=Medium-High; BlastRadius=High; Hardening=Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,vercel-ai-gateway,Vercel AI Gateway,built-in,LLM provider API,API key,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,zai,Z.AI (GLM),built-in,LLM provider API,API key,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,xai,xAI,built-in,LLM provider API,API key,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
plugin_package,@openclaw/bluebubbles,BlueBubbles plugin,published npm plugin (@openclaw/*),Plugin extension,depends on plugin,Plugin setup flow via OpenClaw CLI/config,~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw),Plugin registers tools/channels/hooks; agent uses those abstractions.,Agent invokes plugin-registered tools/hooks; plugin executes actions with runtime-configured creds.,Yes when plugin defines outbound actions/connectors.,medium-high,Depends on plugin permissions and configured creds,Medium,Medium-High,"Pin versions, verify provenance, review permissions/code, run with least privilege.","Level=medium-high; Scope=Depends on plugin permissions and configured creds; Rotation=Medium; BlastRadius=Medium-High; Hardening=Pin versions, verify provenance, review permissions/code, run with least privilege.",docs.openclaw.ai/plugin + docs.openclaw.ai/reference/RELEASING
plugin_package,@openclaw/diagnostics-otel,Diagnostics OpenTelemetry plugin,published npm plugin (@openclaw/*),Plugin extension,depends on plugin,Plugin setup flow via OpenClaw CLI/config,~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw),Plugin registers tools/channels/hooks; agent uses those abstractions.,Agent invokes plugin-registered tools/hooks; plugin executes actions with runtime-configured creds.,Yes when plugin defines outbound actions/connectors.,medium-high,Depends on plugin permissions and configured creds,Medium,Medium-High,"Pin versions, verify provenance, review permissions/code, run with least privilege.","Level=medium-high; Scope=Depends on plugin permissions and configured creds; Rotation=Medium; BlastRadius=Medium-High; Hardening=Pin versions, verify provenance, review permissions/code, run with least privilege.",docs.openclaw.ai/plugin + docs.openclaw.ai/reference/RELEASING
plugin_package,@openclaw/discord,Discord plugin package,published npm plugin (@openclaw/*),Plugin extension,depends on plugin,Plugin setup flow via OpenClaw CLI/config,~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw),Plugin registers tools/channels/hooks; agent uses those abstractions.,Agent invokes plugin-registered tools/hooks; plugin executes actions with runtime-configured creds.,Yes when plugin defines outbound actions/connectors.,medium-high,Depends on plugin permissions and configured creds,Medium,Medium-High,"Pin versions, verify provenance, review permissions/code, run with least privilege.","Level=medium-high; Scope=Depends on plugin permissions and configured creds; Rotation=Medium; BlastRadius=Medium-High; Hardening=Pin versions, verify provenance, review permissions/code, run with least privilege.",docs.openclaw.ai/plugin + docs.openclaw.ai/reference/RELEASING
plugin_package,@openclaw/feishu,Feishu plugin package,published npm plugin (@openclaw/*),Plugin extension,depends on plugin,Plugin setup flow via OpenClaw CLI/config,~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw),Plugin registers tools/channels/hooks; agent uses those abstractions.,Agent invokes plugin-registered tools/hooks; plugin executes actions with runtime-configured creds.,Yes when plugin defines outbound actions/connectors.,medium-high,Depends on plugin permissions and configured creds,Medium,Medium-High,"Pin versions, verify provenance, review permissions/code, run with least privilege.","Level=medium-high; Scope=Depends on plugin permissions and configured creds; Rotation=Medium; BlastRadius=Medium-High; Hardening=Pin versions, verify provenance, review permissions/code, run with least privilege.",docs.openclaw.ai/plugin + docs.openclaw.ai/reference/RELEASING
plugin_package,@openclaw/lobster,Lobster plugin,published npm plugin (@openclaw/*),Plugin extension,depends on plugin,Plugin setup flow via OpenClaw CLI/config,~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw),Plugin registers tools/channels/hooks; agent uses those abstractions.,Agent invokes plugin-registered tools/hooks; plugin executes actions with runtime-configured creds.,Yes when plugin defines outbound actions/connectors.,medium-high,Depends on plugin permissions and configured creds,Medium,Medium-High,"Pin versions, verify provenance, review permissions/code, run with least privilege.","Level=medium-high; Scope=Depends on plugin permissions and configured creds; Rotation=Medium; BlastRadius=Medium-High; Hardening=Pin versions, verify provenance, review permissions/code, run with least privilege.",docs.openclaw.ai/plugin + docs.openclaw.ai/reference/RELEASING
plugin_package,@openclaw/msteams,MS Teams plugin package,published npm plugin (@openclaw/*),Plugin extension,depends on plugin,Plugin setup flow via OpenClaw CLI/config,~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw),Plugin registers tools/channels/hooks; agent uses those abstractions.,Agent invokes plugin-registered tools/hooks; plugin executes actions with runtime-configured creds.,Yes when plugin defines outbound actions/connectors.,medium-high,Depends on plugin permissions and configured creds,Medium,Medium-High,"Pin versions, verify provenance, review permissions/code, run with least privilege.","Level=medium-high; Scope=Depends on plugin permissions and configured creds; Rotation=Medium; BlastRadius=Medium-High; Hardening=Pin versions, verify provenance, review permissions/code, run with least privilege.",docs.openclaw.ai/plugin + docs.openclaw.ai/reference/RELEASING
plugin_package,@openclaw/matrix,Matrix plugin package,published npm plugin (@openclaw/*),Plugin extension,depends on plugin,Plugin setup flow via OpenClaw CLI/config,~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw),Plugin registers tools/channels/hooks; agent uses those abstractions.,Agent invokes plugin-registered tools/hooks; plugin executes actions with runtime-configured creds.,Yes when plugin defines outbound actions/connectors.,medium-high,Depends on plugin permissions and configured creds,Medium,Medium-High,"Pin versions, verify provenance, review permissions/code, run with least privilege.","Level=medium-high; Scope=Depends on plugin permissions and configured creds; Rotation=Medium; BlastRadius=Medium-High; Hardening=Pin versions, verify provenance, review permissions/code, run with least privilege.",docs.openclaw.ai/plugin + docs.openclaw.ai/reference/RELEASING
plugin_package,@openclaw/nextcloud-talk,Nextcloud Talk plugin package,published npm plugin (@openclaw/*),Plugin extension,depends on plugin,Plugin setup flow via OpenClaw CLI/config,~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw),Plugin registers tools/channels/hooks; agent uses those abstractions.,Agent invokes plugin-registered tools/hooks; plugin executes actions with runtime-configured creds.,Yes when plugin defines outbound actions/connectors.,medium-high,Depends on plugin permissions and configured creds,Medium,Medium-High,"Pin versions, verify provenance, review permissions/code, run with least privilege.","Level=medium-high; Scope=Depends on plugin permissions and configured creds; Rotation=Medium; BlastRadius=Medium-High; Hardening=Pin versions, verify provenance, review permissions/code, run with least privilege.",docs.openclaw.ai/plugin + docs.openclaw.ai/reference/RELEASING
plugin_package,@openclaw/nostr,Nostr plugin package,published npm plugin (@openclaw/*),Plugin extension,depends on plugin,Plugin setup flow via OpenClaw CLI/config,~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw),Plugin registers tools/channels/hooks; agent uses those abstractions.,Agent invokes plugin-registered tools/hooks; plugin executes actions with runtime-configured creds.,Yes when plugin defines outbound actions/connectors.,medium-high,Depends on plugin permissions and configured creds,Medium,Medium-High,"Pin versions, verify provenance, review permissions/code, run with least privilege.","Level=medium-high; Scope=Depends on plugin permissions and configured creds; Rotation=Medium; BlastRadius=Medium-High; Hardening=Pin versions, verify provenance, review permissions/code, run with least privilege.",docs.openclaw.ai/plugin + docs.openclaw.ai/reference/RELEASING
plugin_package,@openclaw/voice-call,Voice-call plugin package,published npm plugin (@openclaw/*),Plugin extension,depends on plugin,Plugin setup flow via OpenClaw CLI/config,~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw),Plugin registers tools/channels/hooks; agent uses those abstractions.,Agent invokes plugin-registered tools/hooks; plugin executes actions with runtime-configured creds.,Yes when plugin defines outbound actions/connectors.,medium-high,Depends on plugin permissions and configured creds,Medium,Medium-High,"Pin versions, verify provenance, review permissions/code, run with least privilege.","Level=medium-high; Scope=Depends on plugin permissions and configured creds; Rotation=Medium; BlastRadius=Medium-High; Hardening=Pin versions, verify provenance, review permissions/code, run with least privilege.",docs.openclaw.ai/plugin + docs.openclaw.ai/reference/RELEASING
plugin_package,@openclaw/zalouser,Zalo Personal plugin package,published npm plugin (@openclaw/*),Plugin extension,depends on plugin,Plugin setup flow via OpenClaw CLI/config,~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw),Plugin registers tools/channels/hooks; agent uses those abstractions.,Agent invokes plugin-registered tools/hooks; plugin executes actions with runtime-configured creds.,Yes when plugin defines outbound actions/connectors.,medium-high,Depends on plugin permissions and configured creds,Medium,Medium-High,"Pin versions, verify provenance, review permissions/code, run with least privilege.","Level=medium-high; Scope=Depends on plugin permissions and configured creds; Rotation=Medium; BlastRadius=Medium-High; Hardening=Pin versions, verify provenance, review permissions/code, run with least privilege.",docs.openclaw.ai/plugin + docs.openclaw.ai/reference/RELEASING
plugin_package,@openclaw/zalo,Zalo plugin package,published npm plugin (@openclaw/*),Plugin extension,depends on plugin,Plugin setup flow via OpenClaw CLI/config,~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw),Plugin registers tools/channels/hooks; agent uses those abstractions.,Agent invokes plugin-registered tools/hooks; plugin executes actions with runtime-configured creds.,Yes when plugin defines outbound actions/connectors.,medium-high,Depends on plugin permissions and configured creds,Medium,Medium-High,"Pin versions, verify provenance, review permissions/code, run with least privilege.","Level=medium-high; Scope=Depends on plugin permissions and configured creds; Rotation=Medium; BlastRadius=Medium-High; Hardening=Pin versions, verify provenance, review permissions/code, run with least privilege.",docs.openclaw.ai/plugin + docs.openclaw.ai/reference/RELEASING
productivity_api,google-gmail,Google Gmail,AH5-native,Google Gmail API (REST),OAuth 2.0 authorization code,AH5 dashboard OAuth consent flow,"AH5 vault (PostgreSQL, AES-256-GCM encrypted)","Vault token vending (Model A) or brokered proxy (Model B); agent uses POST /v1/vault/execute.","Agent calls vault execute; vault resolves user's OAuth token and calls Gmail API on agent's behalf.","Model A: agent receives short-lived access token. Model B: vault proxies the API call.",high,User delegated OAuth scopes (gmail.readonly / gmail.send),Low (automatic token refresh),High,"Minimize OAuth scopes per action template, enforce policy engine rules, audit all vault access, require step-up approval for sends.","Level=high; Scope=User delegated OAuth scopes; Rotation=Low (automatic refresh); BlastRadius=High; Hardening=Minimize scopes, policy engine, audit logging, step-up approval for writes.",AH5 PRD + action templates
productivity_api,google-calendar,Google Calendar,AH5-native,Google Calendar API (REST),OAuth 2.0 authorization code,AH5 dashboard OAuth consent flow,"AH5 vault (PostgreSQL, AES-256-GCM encrypted)","Vault token vending (Model A) or brokered proxy (Model B); agent uses POST /v1/vault/execute.","Agent calls vault execute; vault resolves user's OAuth token and calls Calendar API on agent's behalf.","Model A: agent receives short-lived access token. Model B: vault proxies the API call.",high,User delegated OAuth scopes (calendar.events.readonly / calendar.events),Low (automatic token refresh),High,"Minimize OAuth scopes per action template, enforce policy engine rules, audit all vault access, require step-up approval for event mutations.","Level=high; Scope=User delegated OAuth scopes; Rotation=Low (automatic refresh); BlastRadius=High; Hardening=Minimize scopes, policy engine, audit logging, step-up approval for writes.",AH5 PRD + action templates
productivity_api,google-drive,Google Drive,AH5-native,Google Drive API (REST),OAuth 2.0 authorization code,AH5 dashboard OAuth consent flow,"AH5 vault (PostgreSQL, AES-256-GCM encrypted)","Vault token vending (Model A) or brokered proxy (Model B); agent uses POST /v1/vault/execute.","Agent calls vault execute; vault resolves user's OAuth token and calls Drive API on agent's behalf.","Model A: agent receives short-lived access token. Model B: vault proxies the API call.",high,User delegated OAuth scopes (drive.readonly / drive.file),Low (automatic token refresh),High,"Minimize OAuth scopes per action template (drive.file preferred over drive), enforce policy engine rules, audit all vault access, require step-up approval for file mutations.","Level=high; Scope=User delegated OAuth scopes; Rotation=Low (automatic refresh); BlastRadius=High; Hardening=Minimize scopes (drive.file not drive), policy engine, audit logging, step-up approval.",AH5 PRD + action templates
productivity_api,microsoft-outlook-mail,Microsoft Outlook Mail,AH5-native,Microsoft Graph API (REST),OAuth 2.0 authorization code,AH5 dashboard OAuth consent flow,"AH5 vault (PostgreSQL, AES-256-GCM encrypted)","Vault token vending (Model A) or brokered proxy (Model B); agent uses POST /v1/vault/execute.","Agent calls vault execute; vault resolves user's OAuth token and calls Graph API /me/messages on agent's behalf.","Model A: agent receives short-lived access token. Model B: vault proxies the API call.",high,User delegated Graph API scopes (Mail.Read / Mail.Send),Low (automatic token refresh),High,"Minimize Graph API scopes per action template, enforce policy engine rules, audit all vault access, require step-up approval for sends.","Level=high; Scope=User delegated Graph API scopes; Rotation=Low (automatic refresh); BlastRadius=High; Hardening=Minimize scopes, policy engine, audit logging, step-up approval for sends.",AH5 PRD + action templates
